,0,1,2,3,4,5,6,7,8,9
0,"[ 0.04372069 -0.03278001  0.06490649 -0.00439313  0.02713031 -0.10700141
 -0.03647477 -0.05339896]","[ 0.04591096 -0.03481586  0.06203908 -0.00387251  0.02725634 -0.10436965
 -0.03835559 -0.05453446]","[ 0.04416466 -0.02710721  0.0670918  -0.00384879  0.02521567 -0.1020176
 -0.03613197 -0.0542577 ]","[ 0.04590944 -0.03090153  0.06727029 -0.00352936  0.02540207 -0.10361124
 -0.03655877 -0.05611125]","[ 0.04329937 -0.03238884  0.06640143 -0.00117242  0.02425459 -0.1007085
 -0.0347978  -0.05466479]","[ 0.04604347 -0.0351725   0.06709391 -0.00095347  0.0285038  -0.10737149
 -0.03795436 -0.05421494]","[ 0.04630034 -0.03039903  0.06896957 -0.00493997  0.0269546  -0.10297254
 -0.03558602 -0.05050897]","[ 0.04680646 -0.03053602  0.0687411  -0.00433785  0.02872563 -0.09937443
 -0.03601754 -0.04777344]","[ 0.04600128 -0.02779685  0.06792951 -0.0051563   0.02691329 -0.10098435
 -0.03668038 -0.05183919]","[ 0.04493609 -0.02702122  0.06851154 -0.00364271  0.02537839 -0.10201654
 -0.03641667 -0.05483263]"
1,"[ 0.04374434 -0.0328192   0.06488254 -0.0044277   0.02716973 -0.10689598
 -0.03655772 -0.05340893]","[ 0.04588871 -0.03478409  0.06206524 -0.00391502  0.02725808 -0.10432253
 -0.03838406 -0.05456602]","[ 0.04415136 -0.02714835  0.06711248 -0.00391421  0.02526499 -0.10198116
 -0.03616545 -0.05424646]","[ 0.04589669 -0.03092134  0.06725315 -0.00358521  0.02545965 -0.10355097
 -0.03662883 -0.0560998 ]","[ 0.04328273 -0.03236351  0.0663663  -0.00125482  0.02427931 -0.10070503
 -0.03485391 -0.05469015]","[ 0.04609612 -0.0352102   0.06702204 -0.00105742  0.02853867 -0.1072741
 -0.03800293 -0.05423752]","[ 0.04629136 -0.03041269  0.06894346 -0.00499945  0.02699677 -0.10293924
 -0.03566279 -0.05052522]","[ 0.04679194 -0.03054631  0.06874395 -0.00442518  0.02872572 -0.09938053
 -0.03604213 -0.04780921]","[ 0.04598186 -0.02783105  0.06795388 -0.00521266  0.02693897 -0.10096662
 -0.03670109 -0.0518389 ]","[ 0.04493178 -0.02706807  0.06851018 -0.00371724  0.02543068 -0.10198405
 -0.03644664 -0.05481646]"
2,"[ 0.04369346 -0.03271226  0.06487028 -0.00455141  0.02722736 -0.10660215
 -0.03661286 -0.05341255]","[ 0.0457965  -0.03461097  0.06209233 -0.00404414  0.02728834 -0.10408312
 -0.03839554 -0.05458765]","[ 0.04406586 -0.02703467  0.06714903 -0.00407254  0.0253441  -0.10174033
 -0.03618569 -0.05422959]","[ 0.04581426 -0.0307984   0.06725027 -0.00373394  0.02554718 -0.10329163
 -0.03668751 -0.05608381]","[ 0.0431933  -0.03219511  0.06633173 -0.0014258   0.02432916 -0.10051249
 -0.03488617 -0.05470015]","[ 0.04606698 -0.03509859  0.06696056 -0.00124608  0.02859808 -0.106995
 -0.03804669 -0.05425805]","[ 0.04621386 -0.03027361  0.0689435  -0.00515275  0.02706677 -0.10269109
 -0.03572254 -0.05054016]","[ 0.04670503 -0.03039324  0.06877134 -0.00460774  0.02875906 -0.09916783
 -0.03605647 -0.04784564]","[ 0.04589233 -0.02770737  0.06800263 -0.00536446  0.02699753 -0.10073373
 -0.03671181 -0.05183826]","[ 0.04485503 -0.02695883  0.06852839 -0.00388629  0.02551511 -0.10174483
 -0.03646958 -0.0547985 ]"
3,"[ 0.04364726 -0.03256382  0.06480285 -0.00468672  0.02734467 -0.10613896
 -0.03661656 -0.05334214]","[ 0.0457133  -0.03440287  0.06205336 -0.004181    0.02738097 -0.1036779
 -0.03836606 -0.05453318]","[ 0.04399341 -0.02687762  0.06712558 -0.00423628  0.02548251 -0.1013255
 -0.03616133 -0.05414383]","[ 0.04574232 -0.03063835  0.06718936 -0.00389179  0.02568922 -0.10286396
 -0.03669884 -0.05599573]","[ 0.04311186 -0.03198912  0.06623201 -0.00160533  0.02444471 -0.1001546
 -0.03487974 -0.05463449]","[ 0.04603907 -0.03494457  0.0668378  -0.00143923  0.02871396 -0.1065474
 -0.03804642 -0.05420167]","[ 0.04615167 -0.03009325  0.06889063 -0.00531073  0.02718752 -0.10226502
 -0.03572526 -0.05048713]","[ 0.04663472 -0.03019388  0.06873966 -0.00479131  0.02884853 -0.09877406
 -0.03602251 -0.04781782]","[ 0.04581915 -0.02753997  0.06799534 -0.00552035  0.02711127 -0.10032246
 -0.03667329 -0.05177199]","[ 0.04479125 -0.02680561  0.06848881 -0.00406115  0.02565607 -0.10133053
 -0.03644656 -0.05471238]"
4,"[ 0.04363901 -0.03247902  0.06465638 -0.00478274  0.02749602 -0.10570055
 -0.03662399 -0.05321342]","[ 0.04567284 -0.03426412  0.0619274  -0.00427519  0.02750552 -0.1033016
 -0.0383468  -0.0544208 ]","[ 0.04396622 -0.02678362  0.06701    -0.00435166  0.02564532 -0.10093652
 -0.03614074 -0.0540058 ]","[ 0.04571383 -0.0305437   0.06704274 -0.00400505  0.02585385 -0.10246807
 -0.0367113  -0.05585265]","[ 0.04307295 -0.03185021  0.06604482 -0.00174238  0.02459478 -0.09982008
 -0.03488746 -0.05451255]","[ 0.0460512  -0.03485681  0.06663097 -0.00158306  0.02886026 -0.1061254
 -0.03804828 -0.05408242]","[ 0.04613299 -0.02997527  0.06875054 -0.00542015  0.02732465 -0.10186909
 -0.0357202  -0.05038158]","[ 0.04661044 -0.03005541  0.06861234 -0.0049206   0.02895546 -0.09840767
 -0.03598704 -0.04774065]","[ 0.04579198 -0.02743477  0.06789609 -0.0056255   0.02724304 -0.09993979
 -0.03663279 -0.05165565]","[ 0.04477262 -0.02671495  0.06835824 -0.00418681  0.02581834 -0.10094401
 -0.03642371 -0.0545737 ]"
5,"[ 0.04364692 -0.03247486  0.06446508 -0.00483943  0.02761878 -0.10545536
 -0.03668779 -0.05308923]","[ 0.04565377 -0.03421066  0.06175361 -0.00432866  0.02759909 -0.10311839
 -0.03838515 -0.05431472]","[ 0.04396086 -0.02677033  0.06683122 -0.0044196   0.02576939 -0.10073769
 -0.03617331 -0.05387536]","[ 0.04570549 -0.03052811  0.06684488 -0.00407354  0.0259802  -0.10227237
 -0.03677568 -0.05571825]","[ 0.04305852 -0.03179838  0.06580489 -0.00183787  0.02471503 -0.09966565
 -0.0349546  -0.05439615]","[ 0.0460809  -0.03485184  0.06638211 -0.001678    0.02897492 -0.10590418
 -0.03810278 -0.0539663 ]","[ 0.04612967 -0.02993304  0.06855116 -0.00548336  0.02741885 -0.1016731
 -0.03576226 -0.05028328]","[ 0.04660434 -0.02999433  0.06841701 -0.00499855  0.0290183  -0.0982358
 -0.03600144 -0.04767133]","[ 0.04578368 -0.02740692  0.06773159 -0.00568158  0.02733136 -0.09975369
 -0.03664255 -0.05154831]","[ 0.04477426 -0.02670325  0.06816616 -0.00426369  0.02593985 -0.10075325
 -0.0364517  -0.05444301]"
6,"[ 0.04364749 -0.03250671  0.06429157 -0.0048833   0.02768451 -0.10540992
 -0.03680995 -0.05301847]","[ 0.0456318  -0.03419676  0.06159919 -0.00437005  0.02763571 -0.10313006
 -0.03847957 -0.05426355]","[ 0.04395431 -0.02679705  0.06665076 -0.00446864  0.02583182 -0.1007284
 -0.03626197 -0.05379638]","[ 0.04569237 -0.03054535  0.06666173 -0.00412452  0.02604525 -0.1022791
 -0.03689529 -0.0556408 ]","[ 0.04304839 -0.03179481  0.06557464 -0.00191976  0.02477865 -0.09969038
 -0.0350775  -0.05433084]","[ 0.04609977 -0.03487986  0.06616328 -0.00175345  0.02903018 -0.10589397
 -0.03821361 -0.05390595]","[ 0.04611625 -0.02992284  0.06835397 -0.00552964  0.02745167 -0.10167664
 -0.03585942 -0.05023598]","[ 0.04659105 -0.02997046  0.0682162  -0.00505657  0.02901941 -0.09825544
 -0.03607141 -0.0476503 ]","[ 0.04576916 -0.027414    0.06756296 -0.0057182   0.02735705 -0.09976258
 -0.03670882 -0.05149274]","[ 0.04477164 -0.02672792  0.06797562 -0.00432019  0.02599897 -0.10075856
 -0.0365357  -0.05436516]"
7,"[ 0.04364491 -0.0325309   0.06418516 -0.0049335   0.02771358 -0.10544918
 -0.03694879 -0.05300811]","[ 0.04560915 -0.03417698  0.06151568 -0.00441957  0.02763822 -0.10321911
 -0.03858768 -0.05427305]","[ 0.04395232 -0.02682646  0.06652093 -0.00451987  0.02585857 -0.1007906
 -0.03636877 -0.05377157]","[ 0.04567825 -0.03055276  0.06654616 -0.00417739  0.02607406 -0.10236765
 -0.03703109 -0.05562543]","[ 0.04304676 -0.03179989  0.0654034  -0.00200897  0.02480793 -0.09978036
 -0.03521347 -0.05432079]","[ 0.0461084  -0.03489155  0.06602877 -0.00183093  0.02904772 -0.1059758
 -0.03834087 -0.0539095 ]","[ 0.0460992  -0.02990747  0.06821196 -0.00557966  0.02745227 -0.10175836
 -0.03597591 -0.05024201]","[ 0.04657648 -0.02994942  0.068065   -0.00511801  0.02898979 -0.09834602
 -0.03616094 -0.04767755]","[ 0.04575456 -0.02741936  0.06744363 -0.00575709  0.0273496  -0.09984542
 -0.03679557 -0.05149049]","[ 0.04477052 -0.02675087  0.06783995 -0.00437711  0.0260227  -0.1008394
 -0.03663914 -0.05434315]"
8,"[ 0.04365707 -0.03253315  0.06415716 -0.0049884   0.02773875 -0.10546065
 -0.03705699 -0.05303706]","[ 0.04560156 -0.03413452  0.0615138  -0.00447497  0.02764021 -0.10327317
 -0.03866343 -0.05432094]","[ 0.04397354 -0.0268494   0.06645895 -0.00457346  0.02588451 -0.10081454
 -0.0364503  -0.053778  ]","[ 0.04568165 -0.03053883  0.06651083 -0.00423012  0.02610103 -0.1024217
 -0.03713811 -0.05564907]","[ 0.04306845 -0.03179845  0.06530383 -0.00210516  0.02483627 -0.0998296
 -0.03531723 -0.05434399]","[ 0.04612493 -0.03487069  0.06598791 -0.00190906  0.02906107 -0.10603014
 -0.03843763 -0.05395442]","[ 0.04609956 -0.02988075  0.06814317 -0.00563267  0.02745649 -0.10180501
 -0.03606818 -0.05027821]","[ 0.04658014 -0.02992513  0.06798446 -0.00518438  0.02896618 -0.09839841
 -0.03622736 -0.04772943]","[ 0.04576022 -0.02741633  0.06739263 -0.00579866  0.02734552 -0.09989029
 -0.03685992 -0.05151787]","[ 0.04479109 -0.02676415  0.06777574 -0.00443412  0.02604627 -0.10088236
 -0.03671886 -0.05435348]"
9,"[ 0.04369021 -0.03251701  0.06418302 -0.00503361  0.02777067 -0.10541192
 -0.03711266 -0.05308348]","[ 0.045614   -0.03407042  0.06156687 -0.00452022  0.02765148 -0.10326134
 -0.03868662 -0.054385  ]","[ 0.04402326 -0.02687047  0.06644722 -0.00461675  0.02591934 -0.10077304
 -0.0364864  -0.05379421]","[ 0.04570968 -0.03051     0.06652955 -0.00426813  0.02613554 -0.10240781
 -0.03719595 -0.05568865]","[ 0.04311564 -0.03178862  0.06525487 -0.00219402  0.024874   -0.09981206
 -0.03536877 -0.05437926]","[ 0.04615811 -0.03482316  0.06600868 -0.00197282  0.02908004 -0.10602084
 -0.03848175 -0.0540171 ]","[ 0.04612493 -0.0298511   0.0681297  -0.00567547  0.02747296 -0.10178754
 -0.03611555 -0.05032338]","[ 0.04660766 -0.02990292  0.06796045 -0.00524363  0.02895681 -0.09838844
 -0.03625059 -0.04778596]","[ 0.04579298 -0.02741203  0.06739349 -0.00583042  0.02735394 -0.09986966
 -0.03688167 -0.05155344]","[ 0.04484058 -0.02677479  0.06776286 -0.00447831  0.02607881 -0.10085788
 -0.03675453 -0.05437401]"
